deck_id,deck_class,n_cards_total,has_special_deckbuild,formato,avg_cost,avg_attack,avg_health,cost_0,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,n_minions,n_spells,n_weapons,n_locations,n_common,n_rare,n_epic,n_legendary,costo_polvere,n_taunt,n_deathrattle,n_battlecry,n_rush,n_divine_shield,n_combo,n_lifesteal,winrate,games,scrape_date
Tqcm39067GQSMafXBbErHe,WARRIOR,30,False,Standard,3.0,3.278,3.722,0,10,8,2,5,0,0,5,18,8,0,4,18,10,0,2,4920,1,0,14,0,0,0,0,61.98,62198,2026-09-18
u2SWDn4mR25TP5dXorbPdg,PRIEST,20,True,Standard,5.05,4.2,4.2,0,0,4,4,2,2,2,6,10,8,1,1,2,8,6,2,6480,2,2,8,0,0,0,2,55.68,57767,2026-09-18
D84gWXppicM8jOh5nqPkIe,DEATHKNIGHT,30,False,Standard,3.167,1.864,2.955,0,8,5,5,4,4,2,2,22,6,2,0,18,4,6,2,6720,0,4,5,2,0,0,2,59.85,35739,2026-09-18
r8c48P1ibH7Jub5VhrUiFg,WARLOCK,40,True,Standard,4.175,5.143,6.19,1,5,10,5,5,5,1,8,21,17,0,2,13,10,5,3,8320,3,5,15,1,0,0,2,56.54,32670,2026-09-18
Bru7nrb3z0LPd9bzu8sri,WARRIOR,30,False,Standard,2.533,3.0,3.231,0,9,8,6,5,1,0,1,13,11,2,4,12,10,5,3,8280,1,0,7,0,0,0,0,58.11,26363,2026-09-18
I5QgnH8sRCDQwzPmUaNw3,PALADIN,30,False,Standard,3.667,2.529,3.294,0,2,8,4,7,5,2,2,17,10,3,0,13,10,2,3,7120,5,4,7,0,3,0,0,62.25,23115,2026-09-18
KYLFzRD49S9f3wrnflixyg,WARRIOR,30,False,Standard,3.3,3.444,4.167,0,9,8,4,2,0,1,6,18,7,2,2,16,11,0,3,6540,0,0,16,0,0,0,0,59.68,22868,2026-09-18
6NiozvqqKE739H0u2pwHRf,DRUID,30,False,Standard,3.4,2.846,5.231,4,4,10,0,2,3,1,6,13,15,1,1,10,8,2,10,18000,0,0,7,0,0,0,0,57.12,21736,2026-09-18
Ybj9zDNw9pNGKEtRrlR67e,DEMONHUNTER,30,False,Standard,1.9,2.6,2.5,0,12,12,3,3,0,0,0,10,18,2,0,19,10,0,1,3360,2,4,5,0,0,0,0,56.9,18846,2026-09-18
ia0laAO2eomgxyGCUaFsdb,PRIEST,30,False,Standard,2.967,4.286,4.0,0,7,8,5,5,2,0,3,7,23,0,0,14,9,4,3,7860,2,2,5,0,0,0,0,57.98,17022,2026-09-18
xFLPrtChTdTi5JR920IHA,PRIEST,30,False,Standard,3.033,4.286,4.0,0,7,6,7,5,2,0,3,7,23,0,0,16,7,4,3,7740,2,2,5,0,0,0,2,59.73,17010,2026-09-18
BIqkJtOJC4N6m6DnJZWOQb,WARRIOR,30,False,Standard,2.567,3.333,3.25,0,8,10,4,6,1,0,1,12,12,2,4,12,13,2,3,7380,1,2,6,0,0,0,0,61.25,16375,2026-09-18
3IJEAUaveVbkkGpLyTTzhb,DEMONHUNTER,30,False,Standard,2.167,3.2,3.2,0,10,11,3,6,0,0,0,10,16,4,0,15,10,2,3,7200,2,4,7,0,0,0,1,56.36,14212,2026-09-18
JKdwO6DG2QHXLuegIjbuUg,SHAMAN,30,False,Standard,3.0,2.179,3.179,2,8,8,0,5,2,3,2,28,0,1,0,16,6,0,8,14040,6,0,24,1,0,0,0,58.62,13543,2026-09-18
pzteSXDJYmp6EqD36q0pE,MAGE,30,False,Standard,2.933,1.938,2.875,0,9,8,4,6,0,0,3,16,14,0,0,18,6,3,3,7320,0,7,4,0,0,0,0,56.13,11718,2026-09-18
kIv22G8RyuDlvWryqqyKgg,WARLOCK,30,False,Standard,3.767,2.909,2.727,2,2,8,7,3,2,1,5,11,14,0,4,12,8,6,4,10080,4,4,9,0,0,0,2,55.37,10533,2026-09-18
YwPkDz5DTgLWbQ7t4ZitQe,SHAMAN,30,False,Standard,2.967,2.036,3.071,2,9,7,0,4,4,2,2,28,0,1,0,17,4,2,7,13080,6,0,24,1,0,0,0,59.63,10421,2026-09-18
